url1,url2,label,prediction,pair_ok,similarity,novelty_score,threshold_similarity,title1,title2,content_chars1,content_chars2,error
https://edition.cnn.com/2026/04/08/world/live-news/iran-war-trump-us-ceasefire,https://www.bbc.com/news/articles/cwyvp55xrlro,1,1,True,0.7413047552108765,0.25869524478912354,0.68,Live updates: Both US and Iran claim victory after two-week ceasefire deal reached | CNN,Iran ceasefire deal gives Trump a way out of war - but at a high cost,10000,6141,
https://edition.cnn.com/2026/04/08/world/live-news/iran-war-trump-us-ceasefire,https://www.bbc.com/news/articles/c79jqx1xdy9o,0,0,True,0.625234842300415,0.37476515769958496,0.68,Live updates: Both US and Iran claim victory after two-week ceasefire deal reached | CNN,Which Asian countries' ships are passing through the Strait of Hormuz?,10000,6032,
https://www.thenews.com.pk/latest/1398191-greece-to-impose-social-media-ban-for-children-under-15,https://www.bbc.com/news/articles/ckgx1x742x5o,0,1,True,0.8656092882156372,0.1343907117843628,0.68,Greece to ban Under-15s from social media,Greece to ban social media for under-15s from next year,3008,3045,
https://www.bbc.com/news/articles/c4gxk3kxjr0o,https://edition.cnn.com/2026/04/07/entertainment/kanye-west-wireless-festival-statement-scli-intl,1,1,True,0.8182927370071411,0.1817072629928589,0.68,Wireless Festival cancelled after Kanye West blocked from coming to UK,UK festival canceled after headliner Kanye West blocked from traveling to UK | CNN,8623,4146,
https://www.bbc.com/news/articles/c4gxk3kxjr0o,https://www.dailymail.co.uk/tvshowbiz/article-15708949/kanye-west-wife-bianca-censori-tiny-string-sequin-bikini-instagram.html,0,0,True,0.10357330739498138,0.8964266926050186,0.68,Wireless Festival cancelled after Kanye West blocked from coming to UK,Bianca Censori puts on a racy display in tiny string bikini,8623,3502,
https://edition.cnn.com/2026/04/07/entertainment/kanye-west-wireless-festival-statement-scli-intl,https://www.dailymail.co.uk/tvshowbiz/article-15708949/kanye-west-wife-bianca-censori-tiny-string-sequin-bikini-instagram.html,0,0,True,0.15420487523078918,0.8457951247692108,0.68,UK festival canceled after headliner Kanye West blocked from traveling to UK | CNN,Bianca Censori puts on a racy display in tiny string bikini,4146,3502,
https://eu.usatoday.com/story/entertainment/music/2026/04/07/lady-gaga-cancels-concert-montreal-respiratory-infection/89496147007/,https://edition.cnn.com/2026/04/07/entertainment/kanye-west-wireless-festival-statement-scli-intl,0,0,True,0.2884131669998169,0.7115868330001831,0.68,Lady Gaga 'so sorry' to cancel concert at doctor's urging – 'Heartbroken',UK festival canceled after headliner Kanye West blocked from traveling to UK | CNN,2136,4146,
https://www.thenationalnews.com/news/europe/2026/04/07/two-french-citizens-returning-home-after-years-of-detention-in-iran/,https://www.bbc.com/news/articles/clyxk5640wko,1,1,True,0.9545467495918274,0.04545325040817261,0.68,Two French citizens returning home after years of detention in Iran | The National,French couple leave Iran after more than three years in jail,3360,3116,
https://edition.cnn.com/2026/04/07/markets/us-stocks-oil-trump-iran-ceasefire,https://www.bbc.com/news/articles/c8r40y3rv75o,1,1,True,0.8599535226821899,0.14004647731781006,0.68,"Oil prices plunge and markets surge on Iran war ceasefire, but ‘significant hurdles remain’ | CNN Business",Oil prices plunge and shares jump on US-Iran ceasefire plan,5489,5019,
https://gulfnews.com/business/aviation/jet-fuel-crisis-deepens-airlines-cancel-flights-raise-fares-as-global-supply-tightens-1.500498098,https://www.bbc.com/news/articles/c87w4x0n3j0o,1,1,True,0.8303272128105164,0.16967278718948364,0.68,"Flights cancelled, fares surge: Jet fuel crisis hits global travel hard",Airlines cut flights and hike fares as fuel prices surge,4404,3936,
https://www.bbc.com/news/articles/c87w4x0n3j0o,https://www.cnbc.com/2026/04/07/iran-war-jet-fuel-airlines.html,1,1,True,0.801121711730957,0.19887828826904297,0.68,Airlines cut flights and hike fares as fuel prices surge,"Jet fuel supply concerns grow as war with Iran drags on, airlines cut flights",3936,4346,
https://www.cnbc.com/2026/04/07/iran-war-jet-fuel-airlines.html,https://www.cnbc.com/2026/04/08/delta-air-lines-q1-2026-earnings.html,0,0,True,0.48629701137542725,0.5137029886245728,0.68,"Jet fuel supply concerns grow as war with Iran drags on, airlines cut flights","Delta CEO says airline will 'meaningfully' cut growth plans, sees $300 million boost from its refinery",4346,5084,
